fund_name,expense_ratio_pct
HBL Islamic Pension Fund,2.02
HBL Islamic Pension Fund,1.12
HBL Islamic Pension Fund,1.10
HBL Islamic Savings Plan I,1.58
HBL Islamic Stock Fund,4.50
HBL KPK Islamic Pension Fund,0.87
HBL KPK Pension Fund,0.66
HBL Mehfooz Munafa Fund Plan IV,0.30
HBL Mehfooz Munafa Fund Plan X,0.30
HBL Mehfooz Munafa Fund Plan XI,0.22
HBL Mehfooz Munafa Fund Plan XIII,0.21
HBL Money Market Fund,1.56
HBL Multi Asset Fund,3.12
HBL Pension Fund,1.53
HBL Pension Fund,2.25
HBL Pension Fund,1.37
HBL Stock Fund,4.50
HBL Total Treasury Exchange Traded Fund,0.69
JS Cash Fund,0.84
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan I),1.47
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIX),1.18
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XV),1.32
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XX),1.14
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XXI),1.20
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan I),1.37
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan IV),0.93
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan VI),0.74
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan VII),0.55
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan VIII),0.10
JS Fund of Funds,0.36
JS Government Securities Fund,1.80
JS Growth Fund,4.18
JS Income Fund,1.95
JS Islamic Fund,5.13
JS Islamic Income Fund,1.69
JS Islamic Money Market Fund,0.65
JS Islamic Pension Savings Fund,1.96
JS Islamic Pension Savings Fund,0.99
JS Islamic Pension Savings Fund,3.96
JS Islamic Sarmaya Mehfooz Fund (JS Islamic Sarmaya Mehfooz Plan 1),1.72
JS Islamic Sarmaya Mehfooz Fund Plan 2 2020,0.84
JS KPK Islamic Pension Fund,0.67
JS KPK Pension Fund,1.47
JS Large Cap Fund,4.36
JS Microfinance Sector Fund,0.03
JS Momentum Factor Exchange Traded Fund,2.81
JS Money Market Fund,0.44
JS Pension Savings Fund,2.73
JS Pension Savings Fund,1.52
JS Pension Savings Fund,0.86
JS Punjab Islamic Pension Fund,0.00
JS Punjab Pension Fund,0.00
KSE Meezan Index Fund,1.59
Lakson Asset Allocation Developed Markets Fund,3.05
Lakson Equity Fund,4.10
Lakson Fixed Return Fund Plan I,0.25
Lakson Income Fund,1.50
Lakson Islamic Money Market Fund,0.26
Lakson Islamic Tactical Fund,4.12
Lakson Money Market Fund,0.96
Lakson Tactical Fund,3.08
Lucky Islamic Cash Fund,0.27
Lucky Islamic Energy Fund,3.00
Lucky Islamic Fixed Term Fund Plan VII,0.14
Lucky Islamic Fixed Term Fund Plan XII,0.00
Lucky Islamic Income Fund,0.78
Lucky Islamic Money Market Fund,0.56
Lucky Islamic Pension Fund,0.65
Lucky Islamic Pension Fund,0.64
Lucky Islamic Pension Fund,2.03
Lucky Islamic Pension Fund,2.57
Lucky Islamic Punjab Pension Fund,0.39
Lucky Islamic Stock Fund,4.45
MCB Alhamra KPK Govt Employees Pension Fund,1.13
MCB Cash Management Optimizer,1.03
MCB DCF Fixed Return III (Plan IV),0.54
MCB DCF Income Fund,2.07
MCB Government Securities Plan I,1.37
MCB Investment Savings Plan I,0.64
MCB KPK Govt Employees Pension Fund,1.13
MCB Pakistan Asset Allocation Fund,4.42
MCB Pakistan Fixed Return Plan 25,0.32
MCB Pakistan Opportunity Fund (MCB Pakistan Dividend Yield Plan),4.31
MCB Pakistan Sovereign Fund,1.47
MCB Pakistan Stock Market Fund,4.18
MCB Punjab Pension Fund,0.72
